 Field Number                 , Field Name                , Data Type    , Max Length 
1, Activity Year             , Numeric      ,4
2, Respondent ID             , Alphanumeric ,10
3, Agency Code               , Numeric      ,1
4, Tax ID                    , Alphanumeric ,10
5, Respondent Name           , Alphanumeric ,30
6, Respondent Address        , Alphanumeric ,40
7, Respondent City           , Alphanumeric ,25
8, Respondent State          , Alphanumeric ,2
9, Respondent ZIP            , Alphanumeric ,10
10, Parent Name               , Alphanumeric ,30
11, Parent Address            , Alphanumeric ,40
12, Parent City               , Alphanumeric ,25
13, Parent State              , Alphanumeric ,2
14, Parent ZIP                , Alphanumeric ,10
15, Respondent Name (Panel)   , Alphanumeric ,30
16, Respondent City (Panel)   , Alphanumeric ,25
17, Respondent State (Panel)  , Alphanumeric ,2
18, Assets (Panel)            , Numeric      ,10
19, Other Lender Code (Panel) , Numeric      ,1
20, Region Code (Panel)       , Numeric      ,2
21, LAR Count                 , Numeric      ,10
22, Validity Error            , Alphanumeric ,1